Sr.No ,Questions ,Answers ,Department ,Sub-Department ,Remarks ,Status
851,What are the LTV limits for different property types under Samridhi scheme?,Residential: 70% (if self-occupied); 60% if rented > Commercial: 60% > Industrial: 35% > All LTVs include insurance,NBFC,MSME and LAP Loan Product,,
852,How is LTV determined for mixed-use properties under Samridhi scheme?,"If the property is utilized for commercial purposes exceeding 50%, the Commercial LTV will apply, and Vice versa > In cases where the property is used for both commercial and residential purposes equally, the lower LTV will be applied",NBFC,MSME and LAP Loan Product,,
853,Who is eligible as an NRI under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,An Indian citizen who holds a valid document like Indian passport and who stays abroad for employment or for carrying on business or vocation outside India or stays abroad under circumstances indicating an intention for an uncertain duration of stay is an NRI.,NBFC,MSME and LAP Loan Product,,
854,Which countries are eligible for NRI co-applicants under Non-Resident Indian (NRI) Co-Applicant Loan?,"Eligible countries include: USA, Canada, UK, Germany, France, Italy, Spain, Netherlands, Belgium > Middle East: UAE, Saudi Arabia, Bahrain, Qatar, Oman, Kuwait > Asia: Singapore, Malaysia, Hong Kong, Japan > Australia, New Zealand > NRIs from negative countries (as listed separately) are not eligible",NBFC,MSME and LAP Loan Product,,
855,What is the purpose of Non-Resident Indian (NRI) Co-Applicant Loan scheme?,"Home Construction, Repair and Renovation or Extension",NBFC,MSME and LAP Loan Product,,
856,Target Segment under Non-Resident Indian (NRI) Co-Applicant Loan ?,"Salaried NRIs are eligible as co-applicants > Eligible categories: Skilled & Semiskilled professionals such as software engineers, engineers, and other professionals, including carpenters, electricians, plumbers, mechanics, etc > Unskilled categories like laborers, maids, servants, gardeners, helpers, and cleaners are not allowed > Contractual workers must have completed at least one full-year contract renewal with the same employer",NBFC,MSME and LAP Loan Product,,
857,Eligibility Criteria under Non-Resident Indian (NRI) Co-Applicant Loan?,Person on Indian Origin having NRI status with a valid Indian passport and visa (including Khadim visa) > Income must be in foreign currency and repatriable to India > Minority profiles must be avoided,NBFC,MSME and LAP Loan Product,,
858,Who can be a co-applicant or guarantor for Non-Resident Indian (NRI) Co-Applicant Loan?,"An Indian Male resident having blood relation of primary applicant > An Indian Spouse or mother along with a guarantor with stable income is required > Loan amount exceeds INR 10 lakhs, a guarantor with SPDC is mandatory",NBFC,MSME and LAP Loan Product,,
859,What is the loan amount and tenure available under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,Loan Amount: ₹2 lakhs to ₹50 lakhs > Loan Tenure: 12 to 120 months,NBFC,MSME and LAP Loan Product,,
860,What are the interest rate and processing fee for Non-Resident Indian (NRI) Co-Applicant Loan scheme?,Minimum Interest Rate: 20% > Processing Fee: 2%,NBFC,MSME and LAP Loan Product,,
861,What is the minimum CIBIL score required under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,Minimum CIBIL score of 700 or equivalent is required.,NBFC,MSME and LAP Loan Product,,
862,What is the FOIR cap for this product?,Maximum FOIR (Fixed Obligations to Income Ratio) is 50%,NBFC,MSME and LAP Loan Product,,
863,What documents are required for the NRI applicant?,"Copy of Valid Passport & valid visa for ID, Age, Address of residence and signature proof > KYC Documents of POA and Guarantor > Salary pay slip for last 3 months/Salary certificate (If variable components like OT and incentives are reflected then 
 six-month salary pay slips are required) > Work permit, Labor Card or any other employment proof issued by concerned govt. /Employer > A copy of the appointment letter and contract from the company employing the applicant > Copy of all overseas bank statements for last 6 months if any > Copy of NRE/NRO bank statements of last 6 months (if available) > Passport copy with valid entry visa. (Applicant’s passport should not have ‘No Entry’ stamp on the passport 
 prohibiting NRI applicant entering a country) > Power of Attorney (POA) > Tax Return Statement (if available) > KYC documents of POA",NBFC,MSME and LAP Loan Product,,
864,Verifications under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,"PD of Indian residence address is mandatory > Employment verification via email from the reporting authority of the applicant > Email verification is mandatory for all cases through company’s official email address > For loans exceeding INR 10 lakh, tele-verification of the employer must be conducted > Verification of NRE/NRO bank accounts > Verification of guarantor’s residence and employment (if applicable) > Credit report from the country of current employment (if available)",NBFC,MSME and LAP Loan Product,,
865,What is the FOIR limit under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,The FOIR limit under the NRI Co-Applicant Loan scheme is capped at a maximum of 50%.,NBFC,MSME and LAP Loan Product,,
866,What are the age norms under the Non-Resident Indian (NRI) Co-Applicant Loan scheme?,The age norms under the NRI Co-Applicant Loan scheme range from 21 to 60 years.,NBFC,MSME and LAP Loan Product,,
867,Income norms under the Non-Resident Indian (NRI) Co-Applicant Loan scheme?,"Minimum net salary of INR 50,000 per month must be reflected in the co-applicant's bank account > The average of the last 6 months' currency exchange rates should be used for conversion in any approved country > Joint income of any borrower shall not be considered for eligibility",NBFC,MSME and LAP Loan Product,,
868,Is a Power of Attorney (POA) required under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,POA from Indian Resident is mandatory; residence verification to be done,NBFC,MSME and LAP Loan Product,,
869,How is the repayment structured under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,SPDC or NACH from a resident Indian bank account only.,NBFC,MSME and LAP Loan Product,,
870,What is the LTV (Loan-to-Value) ratio under Non-Resident Indian (NRI) Co-Applicant Loan scheme?,80% of estimate/quotation provided OR The technical verification of the property done by the CFPL technical team.,NBFC,MSME and LAP Loan Product,,
871,What is the minimum EMI seasoning required for a balance transfer loan under MSME and LAP Loan?,The customer must have paid at least 6 EMIs before applying for a balance transfer.,NBFC,MSME and LAP Loan Product,,
872,What documents are required for a Balance Transfer (BT) under MSME and LAP Loan product?,"Statement of Account (SOA) reflecting the last paid EMI, Foreclosure letter not more than 1 month old from date of login, Copy of property documents as per LOD and POA cum authorization letter from customer",NBFC,MSME and LAP Loan Product,,
873,Can the loan tenure be changed during a balance takeover under MSME and LAP Loan product?,"No, the loan tenure for balance takeover will remain the same as the existing tenure. No deviations are allowed.",NBFC,MSME and LAP Loan Product,,
874,What is the allowed bounce history for BT eligibility under MSME and LAP Loan product?,"Over the past 12 months, the customer must not have more than two Non- technical) payment bounces and No Nontechnical bouncing can be accepted in last six month, and should not exceed 30 Days Past Due (DPD) across the loan tenure",NBFC,MSME and LAP Loan Product,,
875,Negative Profile under MSME and LAP Loan product?,"Anti-Social organizations and elements > Lawyers / Advocate / Policeman > Time share companies and related persons, Film producing company > Warehouse receipts funding, Merchant exporters, 
 diamond dealer, Bullion trader > Production or trade in weapons and ammunitions, 
 alcoholic beverages (excluding beer and wine) > Gambling, casinos and equivalent enterprises > Production or trade in radioactive materials. This does 
 not apply to the purchase of medical equipment, quality 
 control (measurement) equipment and any equipment 
 where IFC considers the radioactive source to be trivial 
 and/or adequately shielded
 > Production or trade in unbonded asbestos fibers. This 
 does not apply to purchase and use of bonded asbestos 
 cement sheeting where the asbestos content is less than 
 20%
 > Drift net fishing in the marine environment using nets in 
 excess of 2.5 km. in length > Money lenders
  > Entertainment & Art related business, movie halls, malls > Push- cart Vendor > Butchers > Co-operatives society
  > Small time Actors, Print & News Media, Press reporters, 
 News reporters, Editors, Journalists > Collection agencies, Recovery agencies, Verification 
 agencies and their employees, DSAs and their 
 employees > Transporter Profile & Driver & Conductor of SRTC/Taxi 
 drivers/ Auto Rickshaw Drivers/ Commercial Vehicles 
 Drivers > Daily wage laborers / Workers > Political exposed person (PEP) Profile - Sarpanch, Up sarpanch, Parshad",NBFC,MSME and LAP Loan Product,,
876,Caution Profile under MSME and LAP Loan product?,"Security Services Companies and their Employees, Manpower/Staffing service > Real estate agents / Builders and their relatives Chit fund companies/Stock Broking/Investment companies and related employees > Poultry Farm > Tobacco > Non-Veg restaurant, Bar > Gym, Fitness center > Private financers > Multi-level marketing (MLM) > Mining work > Temporary set-up which is not authorized - Allowed under Insta Loan only > Civil contractors and Labour contractors involved in construction work (above 5 lakh cases and minimum 2 site should be running) > Consultant related profiles, Commission agent except Agri commission agent > Roadside vendors except Food / Snacks Counter and Tea Stalls (no fixed establishment) - Allowed under Insta Loan only > Moveable set-up which is not authorized - Allowed under Insta Loan only > Vendors of Choice Finserv Pvt. Ltd. > Gems and precious stones business",NBFC,MSME and LAP Loan Product,,
877,Who conducts the PD for loan amounts up to ₹10 Lakhs?,"For loan amounts up to ₹10 Lakhs, the PD is conducted by the Credit Officer (CO).",NBFC,MSME and LAP Loan Product,,
878,Who is responsible for PD for loans between ₹10 Lakhs and ₹15 Lakhs?,Branch Credit Manager (BCM) and Divisional Manager (DM)/Branch Manager (BM) /Cluster branch manager (CBM),NBFC,MSME and LAP Loan Product,,
879,Who authorizes the PD for loans up to ₹25 Lakhs?,Cluster Credit Manager/Central credit team member and Divisional Manager (DM) /Cluster branch manager (CBM),NBFC,MSME and LAP Loan Product,,
880,What is the PD authority for loans up to ₹35 Lakhs?,State Credit Manager and State business head/Regional sales manager along with Video PD by NCM,NBFC,MSME and LAP Loan Product,,
881,Who is authorized to conduct the PD for loans above ₹35 Lakhs?,National Credit Manager (NCM) and State business head/Regional sales manager/Business Head,NBFC,MSME and LAP Loan Product,,
882,What is PD stands for?,PD stands for Probability of Default,NBFC,MSME and LAP Loan Product,,
883,What does PD means?,"This term signifies the likelihood that a borrower will be unable to meet their debt obligations within a specific timeframe. It's a key factor in credit risk assessment, helping lenders determine the potential losses associated with lending to a particular borrower.",NBFC,MSME and LAP Loan Product,,
884,What mitigation is required for missing N-1 title documents older than 13 years?,"Police intimation, indemnity, 15 days' paper publication notice, no-claim certificate from lawyer, and certified true copy.",NBFC,Collateral Legal Deviation-MSME and LAP,,
885,What is the criticality level for this deviation?,criticality level for missing N-1 title documents older than 13 years is high,NBFC,Collateral Legal Deviation-MSME and LAP,,
886,Who must approve a waiver for missing N-1 title documents older than 13 years?,"COC, CEO/DCEO must approve a waiver for missing N-1 title documents older than 13 years",NBFC,Collateral Legal Deviation-MSME and LAP,,
887,When can a missing N-1 document still be accepted?,If N-2 or older documents are available and complete a 13-year chain.,NBFC,Collateral Legal Deviation-MSME and LAP,,
888,What mitigation steps must be followed if N-1 is missing but N-2 completes the chain?,"Police intimation, indemnity, 15 days’ paper publication, no-claim certificate, certified true copy.",NBFC,Collateral Legal Deviation-MSME and LAP,,
889,What is the criticality level for accepting missing N-1 when older documents complete the chain?,criticality level for accepting missing N-1 when older documents complete the chain is high,NBFC,Collateral Legal Deviation-MSME and LAP,,
890,Who are the approvers for accepting missing N-1 when older documents complete the chain is high?,CEO/DCEO approvers for accepting missing N-1 when older documents complete the chain is high,NBFC,Collateral Legal Deviation-MSME and LAP,,
891,What deviation occurs if N-2 or prior registered legal documents are missing?,Waiver of registered title legal documents (N-2 & prior) with entire chain otherwise available.,NBFC,Collateral Legal Deviation-MSME and LAP,,
892,What mitigation steps must be taken for missing N-2/prior documents?,"Indemnity, 15 days’ paper publication notice, no-claim certificate, certified true copy.",NBFC,Collateral Legal Deviation-MSME and LAP,,
893,What is the criticality assigned for missing N-2/prior documents?,criticality assigned for missing N-2/prior documents is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
894,Who needs to approve the waiver for missing N-2/prior documents?,"RLM AVP, Legal COC, CEO/DCEO approve the waiver for missing N-2/prior documents",NBFC,Collateral Legal Deviation-MSME and LAP,,
895,"What is the deviation if Registration Receipt, Index II, or Stamp Duty Receipt is missing?",Non-availability of proof of registration or stamping.,NBFC,Collateral Legal Deviation-MSME and LAP,,
896,What mitigation is required for missing Registration Receipt or Stamp Duty Receipt?,"Customer must provide an indemnity-cum-declaration, and proof of adequate stamping/registration must be verified.",NBFC,Collateral Legal Deviation-MSME and LAP,,
897,How can proof of stamping and registration be verified?,Through Online Index II if available.,NBFC,Collateral Legal Deviation-MSME and LAP,,
898,What is the criticality for missing Registration Receipt or Stamp Duty Receipt?,for missing Registration Receipt or Stamp Duty Receipt is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
899,Who can approve a waiver for missing Registration Receipt or Stamp Duty Receipt?,"RLM AVP, Legal COC, CEO/DCEO approve the waiver for missing N-2/prior documents",NBFC,Collateral Legal Deviation-MSME and LAP,,
900,What if mistakes or mismatches are found in title documents but no rectification deed is available?,The deviation is classified under mistakes/mismatches in title documents.,NBFC,Collateral Legal Deviation-MSME and LAP,,
901,What mitigation is required when rectification deed is unavailable?,Obtain certified true copy of the deed and an indemnity-cum-undertaking from the customer.,NBFC,Collateral Legal Deviation-MSME and LAP,,
902,What is the criticality assigned to mistakes or mismatches in title documents without rectification?,criticality assigned to mistakes or mismatches in title documents without rectification is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
903,Who needs to approve mistakes or mismatches in title documents without rectification?,Legal COC and CEO/DCEO approve mistakes or mismatches in title documents without rectification,NBFC,Collateral Legal Deviation-MSME and LAP,,
904,What deviation occurs when NOC of loan closure from lien-marked bank is missing in Jamabandi?,Absence of NOC for lien closure in land records (Jamabandi).,NBFC,Collateral Legal Deviation-MSME and LAP,,
905,What mitigation steps are required for missing lien closure NOC?,"Obtain alternative proof of loan closure, such as No Dues Certificate or Statement of Account.",NBFC,Collateral Legal Deviation-MSME and LAP,,
906,What is the criticality of when NOC of loan closure from lien-marked bank is missing in Jamabandi?,criticality of when NOC of loan closure from lien-marked bank is missing in Jamabandi is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
907,Who can approve this deviation?,"RLM AVP, Legal COC, CEO/DCEO approve this when NOC of loan closure from lien-marked bank is missing in Jamabandi",NBFC,Collateral Legal Deviation-MSME and LAP,,
908,What is the deviation regarding Revenue documents?,Accepting a copy when the original is unavailable.,NBFC,Collateral Legal Deviation-MSME and LAP,,
909,What mitigation is needed when only a copy of revenue documents is available?,Subject the copy to thorough verification.,NBFC,Collateral Legal Deviation-MSME and LAP,,
910,What is the criticality level for regarding Revenue documents?,criticality level for regarding Revenue documents is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
911,Who are the approvers for regarding Revenue documents?,"RLM AVP, Legal COC, CEO/DCEO are the approvers for regarding Revenue documents",NBFC,Collateral Legal Deviation-MSME and LAP,,
912,What deviation occurs when only a copy of NA/Conversion Order is available?,Non-availability of the original conversion proof.,NBFC,Collateral Legal Deviation-MSME and LAP,,
913,What proof is necessary when only a copy is provided?,Proof that the property is properly converted must be documented.,NBFC,Collateral Legal Deviation-MSME and LAP,,
914,What is the criticality for accepting copy of NA Order?,criticality for accepting copy of NA Order is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
915,Who can approve for accepting copy of NA Order?,"RLM AVP, Legal COC, CEO/DCEO can approve for accepting copy of NA Order",NBFC,Collateral Legal Deviation-MSME and LAP,,
916,What mitigation is required when Allotment or Possession Letter is missing despite availability of title documents?,Take suitable indemnity from the customer and ensure a clear 13-year search report/EC/NEC.,NBFC,Collateral Legal Deviation-MSME and LAP,,
917,What is the criticality assigned to Allotment or Possession Letter is missing despite availability of title documents?,Allotment or Possession Letter is missing despite availability of title documentsis High.,NBFC,Collateral Legal Deviation-MSME and LAP,,
918,Who approves Allotment or Possession Letter is missing despite availability of title documents?,"Legal COC, CEO/DCEO approves Allotment or Possession Letter is missing despite availability of title documents",NBFC,Collateral Legal Deviation-MSME and LAP,,
919,What deviation occurs when property papers are torn?,Torn property paper is considered a document deviation.,NBFC,Collateral Legal Deviation-MSME and LAP,,
920,How should torn property papers be mitigated?,Obtain an affidavit-cum-undertaking from the customer.,NBFC,Collateral Legal Deviation-MSME and LAP,,
921,What is the criticality level for torn papers?,criticality level for torn papers is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
922,Who can approve when property papers are torn?,"RLM AVP, Legal COC, CEO/DCEO when property papers are torn",NBFC,Collateral Legal Deviation-MSME and LAP,,
923,"What is required for Patta verification issued after January 1, 2020?",Verification through MISAL/Gram Panchayat letter/Certified copy/Telephonic verification.,NBFC,Collateral Legal Deviation-MSME and LAP,,
924,What is the criticality if Patta verification is missing?,criticality if Patta verification is missing is High.,NBFC,Collateral Legal Deviation-MSME and LAP,,
925,Who must approve if Patta verification is missing?,"Legal COC, CEO/DCEO if Patta verification is missing",NBFC,Collateral Legal Deviation-MSME and LAP,,
926,What deviation arises from missing PTM?,Non-availability of Permission to Mortgage from authority.,NBFC,Collateral Legal Deviation-MSME and LAP,,
927,What mitigation is acceptable if PTM is missing?,"Application copy received can be marked as ""OTC"".",NBFC,Collateral Legal Deviation-MSME and LAP,,
928,What is the criticality level arises from missing PTM?,criticality level arises from missing PTM is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
929,Who approves missing PTM?,"RLM AVP, Legal COC, CEO/DCEO approves missing PTM",NBFC,Collateral Legal Deviation-MSME and LAP,,
930,"What happens when miscellaneous or link documents (e.g., Death Certificate, Jamabandi) are missing?",Obtain affidavit-cum-undertaking.,NBFC,Collateral Legal Deviation-MSME and LAP,,
931,"What is the criticality assigned when miscellaneous or link documents (e.g., Death Certificate, Jamabandi) are missing??","when miscellaneous or link documents (e.g., Death Certificate, Jamabandi) are missing Is Medium.",NBFC,Collateral Legal Deviation-MSME and LAP,,
932,"Who approves when miscellaneous or link documents (e.g., Death Certificate, Jamabandi) are missing?","RLM AVP, Legal COC, CEO/DCEO when miscellaneous or link documents (e.g., Death Certificate, Jamabandi) are missing",NBFC,Collateral Legal Deviation-MSME and LAP,,
933,What is the deviation when Original LOD is missing in Balance Transfer cases?,Accept the copy of LOD.,NBFC,Collateral Legal Deviation-MSME and LAP,,
934,What is the criticality when Original LOD is missing in Balance Transfer cases?,criticality when Original LOD is missing in Balance Transfer cases is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
935,Who approves when Original LOD is missing in Balance Transfer cases?,"Legal COC, CEO/DCEO approves when Original LOD is missing in Balance Transfer cases",NBFC,Collateral Legal Deviation-MSME and LAP,,
936,What deviation occurs if Loan Closure NOC is not available from BT Bank?,"If original property papers are received from the BT bank, NOC is not mandatory.",NBFC,Collateral Legal Deviation-MSME and LAP,,
937,What is the criticality level if Loan Closure NOC is not available from BT Bank?,criticality level if Loan Closure NOC is not available from BT Bank is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
938,Who approves if Loan Closure NOC is not available from BT Bank?,"Legal COC, CEO/DCEO approves if Loan Closure NOC is not available from BT Bank",NBFC,Collateral Legal Deviation-MSME and LAP,,
939,What mitigation is required when Society verification issue for non-90B approved society where possession documents are available.?,Verification with last 3 years' possession.,NBFC,Collateral Legal Deviation-MSME and LAP,,
940,What is the criticality when Society verification issue for non-90B approved society where possession documents are available?,criticality when Society verification issue for non-90B approved society where possession documents are available is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
941,Who approves this deviation when Society verification issue for non-90B approved society where possession documents are available?,"RLM AVP, Legal COC, CEO/DCEO approves this deviation when Society verification issue for non-90B approved society where possession documents are available",NBFC,Collateral Legal Deviation-MSME and LAP,,
942,What happens if last 3 years' possession is not received from a non-90B society?,It is treated as a high criticality deviation.,NBFC,Collateral Legal Deviation-MSME and LAP,,
943,Who must approve if last 3 years' possession is not received from a non-90B society?,"Legal COC, CEO/DCEO approve if last 3 years' possession is not received from a non-90B society",NBFC,Collateral Legal Deviation-MSME and LAP,,
944,What deviation occurs if documents are laminated?,Laminated title documents are treated as a deviation.,NBFC,Collateral Legal Deviation-MSME and LAP,,
945,What mitigation is necessary for laminated documents?,Obtain positive vetting report from a legal vendor along with an affidavit-cum-undertaking (especially if papers are over 5 years old).,NBFC,Collateral Legal Deviation-MSME and LAP,,
946,What is the criticality for laminated documents?,for laminated documents is Medium.,NBFC,Collateral Legal Deviation-MSME and LAP,,
947,Who approves this deviation for laminated documents?,"Legal COC, CEO/DCEO approves this deviation for laminated documents",NBFC,Collateral Legal Deviation-MSME and LAP,,
948,How are non-critical deviations not listed individually handled?,Classified as non-critical and managed with regular mitigation steps.,NBFC,Collateral Legal Deviation-MSME and LAP,,
949,Who approves other non-critical deviations?,"Legal COC, CEO/DCEO approves other non-critical deviations",NBFC,Collateral Legal Deviation-MSME and LAP,,
950,How are other critical deviations handled?,Critical deviations require specific and stricter evaluation.,NBFC,Collateral Legal Deviation-MSME and LAP,,
951,Who must approve any other critical deviation?,CEO only must approve any other critical deviation,NBFC,Collateral Legal Deviation-MSME and LAP,,
952,What deviation occurs when extra land is encroached adjacent to the offered collateral?,Excess coverage where the client has encroached extra land beside the collateral.,NBFC,Technical Deviation-MSME and LAP,,
953,What is the criticality level of excess coverage?,criticality level of excess coverage is Medium.,NBFC,Technical Deviation-MSME and LAP,,
954,What are the approval conditions for excess coverage?,"Up to 30%: RTM approval.
 30%–50%: HOT and COC approval.",NBFC,Technical Deviation-MSME and LAP,,
955,What deviation occurs when the approved sanction plan is not available?,Non-availability of an approved construction plan.,NBFC,Technical Deviation-MSME and LAP,,
956,What is the criticality when the approved sanction plan is not available?,criticality when the approved sanction plan is not available is High.,NBFC,Technical Deviation-MSME and LAP,,
957,Who must approve when the approved sanction plan is not available?,Only CEO approve when the approved sanction plan is not available,NBFC,Technical Deviation-MSME and LAP,,
958,What is a dimension mismatch deviation?,Mismatch between the dimensions in the technical report and the property documents.,NBFC,Technical Deviation-MSME and LAP,,
959,What is the criticality of dimension mismatch?,criticality of dimension mismatch is Medium.,NBFC,Technical Deviation-MSME and LAP,,
960,What are the approval rules for dimension mismatch?,"Up to 30%: RTM can approve.
 Up to 50%: HOT and COC approval needed.",NBFC,Technical Deviation-MSME and LAP,,
961,What is the deviation when boundary mismatch is found?,Boundary or dimension mismatch between documents and technical verification.,NBFC,Technical Deviation-MSME and LAP,,
962,What is the criticality assigned for boundary mismatch?,criticality assigned for boundary mismatch is Medium.,NBFC,Technical Deviation-MSME and LAP,,
963,What are the acceptance conditions for boundary mismatch?,"Acceptable if two sides match (including road).
 Approvals differ if only one side matches.",NBFC,Technical Deviation-MSME and LAP,,
964,What is the deviation if approach road is less than required norms?,Road width to the property is narrower than standard norms.,NBFC,Technical Deviation-MSME and LAP,,
965,What is the criticality of narrow approach roads?,criticality of narrow approach roads is Medium.,NBFC,Technical Deviation-MSME and LAP,,
966,What are the approval guidelines based on road width?,"Road width 5–8 feet: HOT and COC approval needed.
 Up to 8 feet: RTM approval possible.",NBFC,Technical Deviation-MSME and LAP,,
967,What deviation arises when there is a demolition risk to the collateral?,The property offered as collateral has a risk of demolition as per the technical report.,NBFC,Technical Deviation-MSME and LAP,,
968,What is the criticality of demolition risk?,criticality of demolition risk is High.,NBFC,Technical Deviation-MSME and LAP,,
969,Who must approve demolition risk?,CEO must approve demolition risk,NBFC,Technical Deviation-MSME and LAP,,
970,What deviation occurs if the property falls under road widening as per the master plan?,Property is partially or fully impacted due to future road widening.,NBFC,Technical Deviation-MSME and LAP,,
971,What is the criticality if the property falls under road widening as per the master plan?,criticality if the property falls under road widening as per the master plan is High.,NBFC,Technical Deviation-MSME and LAP,,
972,Who must approve if the property falls under road widening as per the master plan?,CEO must approve if the property falls under road widening as per the master plan,NBFC,Technical Deviation-MSME and LAP,,
973,What deviation is identified when a property has no specific address?,Property like agricultural land without a proper mentioned address.,NBFC,Technical Deviation-MSME and LAP,,
974,What is the criticality when a property has no specific address?,criticality when a property has no specific address is Low.,NBFC,Technical Deviation-MSME and LAP,,
975,Who must approve when a property has no specific address?,CEO must approve when a property has no specific address,NBFC,Technical Deviation-MSME and LAP,,
976,What deviation is noted if the property is located in a low occupancy area?,Property is situated in sparsely populated or less inhabited locality.,NBFC,Technical Deviation-MSME and LAP,,
977,What is the criticality level for low occupancy?,criticality level for low occupancy is Low.,NBFC,Technical Deviation-MSME and LAP,,
978,What are the conditions for approval?,"Up to 30% acceptable: RTM approval.
 If less than 10% occupancy: CEO approval required.",NBFC,Technical Deviation-MSME and LAP,,
979,What is the deviation when the property’s use differs from the title document?,Unauthorized or changed land use.,NBFC,Technical Deviation-MSME and LAP,,
980,What is the criticality level for land use change?,criticality level for land use change is Medium.,NBFC,Technical Deviation-MSME and LAP,,
981,What are the approval requirements?,"Up to 30% change: RTM approval.
 Above 30% change: CEO approval required.",NBFC,Technical Deviation-MSME and LAP,,
982,What is the deviation if the plot area exceeds 500 sqmtr?,Property size larger than 500 square meters.,NBFC,Technical Deviation-MSME and LAP,,
983,What is the criticality if the plot area exceeds 500 sqmtr?,criticality if the plot area exceeds 500 sqmtr is High.,NBFC,Technical Deviation-MSME and LAP,,
984,What are the area limits for approval?,"Up to 500 sqmtr: RTM approval.
 Up to 1500 sqmtr: HOT approval.
 More than 1500 sqmtr: CEO approval.",NBFC,Technical Deviation-MSME and LAP,,
985,What deviation occurs when a property falls under an HT line?,Property is under a High Tension power line as per bylaws.,NBFC,Technical Deviation-MSME and LAP,,
986,What is the criticality of a property under HT line?,criticality of a property under HT line is High.,NBFC,Technical Deviation-MSME and LAP,,
987,What are the distance conditions for acceptance?,Up to 20 feet distance acceptable under conditions.,NBFC,Technical Deviation-MSME and LAP,,
988,Who must approve distance conditions for acceptance?,CEO must approve distance conditions for acceptance,NBFC,Technical Deviation-MSME and LAP,,
989,What deviation occurs if a property falls under a no-construction zone?,"Property is situated in a green belt, ecological zone, or near a pond where construction is restricted.",NBFC,Technical Deviation-MSME and LAP,,
990,What is the criticality level if a property falls under a no-construction zone?,criticality level if a property falls under a no-construction zone is High.,NBFC,Technical Deviation-MSME and LAP,,
991,Who must approve if a property falls under a no-construction zone?,CEO must approve if a property falls under a no-construction zone,NBFC,Technical Deviation-MSME and LAP,,
992,What is the deviation if the property’s age exceeds standard limits?,Property is older than the acceptable age limit.,NBFC,Technical Deviation-MSME and LAP,,
993,What is the criticality of older properties?,criticality of older properties is High.,NBFC,Technical Deviation-MSME and LAP,,
994,What are the age criteria for approvals?,"Up to 50 years: RTM approval.
 Up to 55 years: HOT approval.
 More than 55 years: CEO approval.",NBFC,Technical Deviation-MSME and LAP,,
995,What deviation occurs regarding the value of Tin Shed constructions?,Property has tin shed construction considered for collateral value.,NBFC,Technical Deviation-MSME and LAP,,
996,What is the criticality assigned to Tin Shed consideration?,criticality assigned to Tin Shed consideration is Low.,NBFC,Technical Deviation-MSME and LAP,,
997,What are the approval conditions?,"Loan amount up to ₹10 lacs: RTM approval.
 Above ₹10 lacs: HOT/COC/CEO approval depending on tin shed condition.",NBFC,Technical Deviation-MSME and LAP,,
998,What deviation occurs when the property is under construction in LAP?,Property construction is incomplete.,NBFC,Technical Deviation-MSME and LAP,,
999,What is the criticality when the property is under construction in LAP?,criticality when the property is under construction in LAP is Medium.,NBFC,Technical Deviation-MSME and LAP,,
1000,What are the percentage completion guidelines?,"Up to 85%: RTM approval.
 Up to 80%: HOT approval.
 Up to 70%: COC approval.
 Up to 60%: CEO approval.",NBFC,Technical Deviation-MSME and LAP,,
1001,What deviation occurs if the required documents lack signature of authority?,Absence of necessary technical sign-off.,NBFC,Technical Deviation-MSME and LAP,,
1002,What is the criticality of missing signatures?,criticality of missing signatures is High.,NBFC,Technical Deviation-MSME and LAP,,
1003,Who must approve missing signatures?,CEO must approve missing signatures,NBFC,Technical Deviation-MSME and LAP,,
1004,What deviation is related to RCU (Risk Containment Unit) report status?,Incomplete or pending RCU report linked to technical inspection.,NBFC,Technical Deviation-MSME and LAP,,
1005,What is the criticality assigned if deviation is related to RCU (Risk Containment Unit) report status?,criticality assigned if deviation is related to RCU (Risk Containment Unit) report status is High.,NBFC,Technical Deviation-MSME and LAP,,
1006,Who must approve if deviation is related to RCU (Risk Containment Unit) report status?,CEO must approve if deviation is related to RCU (Risk Containment Unit) report status,NBFC,Technical Deviation-MSME and LAP,,
1007,What deviation occurs when revisit or vendor revisit is waived for IMD?,Waiver of re-verification or second technical visit.,NBFC,Technical Deviation-MSME and LAP,,
1008,What is the criticality of this deviation occurs when revisit or vendor revisit is waived for IMD?,criticality of this deviation occurs when revisit or vendor revisit is waived for IMD is Medium.,NBFC,Technical Deviation-MSME and LAP,,
